year,question,marks
2025,"Distinguish between the Human Development Index (HDI) and the Inequality-adjusted Human Development Index (IHDI) with special reference to India. Why is the IHDI considered a better indicator of inclusive growth?",10
2025,"What are the challenges before the Indian economy when the world is moving away from free trade and multilateralism to protectionism and bilateralism? How can these challenges be met?",10
2025,"Explain the factors influencing the decision of the farmers on the selection of high value crops in India.",10
2025,"Elaborate the scope and significance of supply chain management of agricultural commodities in India.",10
2025,"The fusion energy programme in India has steadily evolved over the past few decades. Mention India's contributions to the international fusion energy project – International Thermonuclear Experimental Reactor (ITER). What will be the implications of the success of this project for the future of global energy?",10
2025,"How can India achieve energy independence through clean technology by 2047? How can biotechnology play a crucial role in this endeavour?",10
2025,"What is Carbon Capture, Utilization and Storage (CCUS)? What is the potential role of CCUS in tackling climate change?",10
2025,"Seawater intrusion in the coastal aquifers is a major concern in India. What are the causes of seawater intrusion and the remedial measures to combat this hazard?",10
2025,"Terrorism is a global scourge. How has it manifested in India? Elaborate with contemporary examples. What are the counter measures adopted by the State? Explain.",10
2025,"The Government of India recently stated that Left Wing Extremism (LWE) will be eliminated by 2026. What do you understand by LWE and how are the people affected by it? What measures have been taken by the government to eliminate LWE?",10
2025,"Explain how the Fiscal Health Index (FHI) can be used as a tool for assessing the fiscal performance of states in India. In what way would it encourage the states to adopt prudent and sustainable fiscal policies?",15
2025,"Discuss the rationale of the Production Linked Incentive (PLI) scheme. What are its achievements? In what way can the functioning and outcomes of the scheme be improved?",15
2025,"Examine the factors responsible for depleting groundwater in India. What are the steps taken by the government to mitigate such depletion of groundwater?",15
2025,"Examine the scope of the food processing industries in India. Elaborate the measures taken by the government in the food processing industries for generating employment opportunities.",15
2025,"How does nanotechnology offer significant advancements in the field of agriculture? How can this technology help to uplift the socio-economic status of farmers?",15
2025,"India aims to become a semiconductor manufacturing hub. What are the challenges faced by the semiconductor industry in India? Mention the salient features of the India Semiconductor Mission.",15
2025,"Mineral resources are fundamental to the country's economy and these are exploited by mining. Why is mining considered an environmental hazard? Explain the remedial measures required to reduce the environmental hazard due to mining.",15
2025,"Write a review on India's climate commitments under the Paris Agreement (2015) and mention how these have been further strengthened in COP26 (2021). In this direction, how has the first Nationally Determined Contribution intended by India been updated in 2022?",15
2025,"What are the major challenges to internal security and peace process in the North-Eastern States? Map the various peace accords and agreements initiated by the government in the past decade.",15
2025,"Why is maritime security vital to protect India's sea trade? Discuss maritime and coastal security challenges and the way forward.",15
2024,"Examine the pattern and trend of public expenditure on social services in the post-reforms period in India. To what extent this has been in consonance with achieving the objective of inclusive growth?",10
2024,"What are the causes of persistent high food inflation in India? Comment on the effectiveness of the monetary policy of the RBI to control this type of inflation.",10
2024,"What were the factors responsible for the successful implementation of land reforms in some parts of the country? Elaborate.",10
2024,"Explain the role of millets for ensuring health and nutritional security in India.",10
2024,"What is the present world scenario of intellectual property rights with respect to life materials? Although India is second in the world to file patents, still only a few have been commercialized. Explain the reasons behind this less commercialization.",10
2024,"What is the technology being employed for electronic toll collection on highways? What are its advantages and limitations? What are the proposed changes that will make this process seamless? Would this transition carry any potential hazards?",10
2024,"Industrial pollution of river water is a significant environmental issue in India. Discuss the various mitigation measures to deal with this problem and also the government's initiatives in this regard.",10
2024,"What role do environmental NGOs and activists play in influencing Environmental Impact Assessment (EIA) outcomes for major projects in India? Cite four examples with all important details.",10
2024,"Explain how narco-terrorism has emerged as a serious threat across the country. Suggest suitable measures to counter narco-terrorism.",10
2024,"Describe the context and salient features of the Digital Personal Data Protection Act, 2023.",10
2024,"Discuss the merits and demerits of the four 'Labour Codes' in the context of labour market reforms in India. What has been the progress so far in this regard?",15
2024,"What is the need for expanding the regional air connectivity in India? In this context, discuss the government's UDAN Scheme and its achievements.",15
2024,"What are the major challenges faced by Indian irrigation system in recent times? State the measures taken by the government for efficient irrigation management.",15
2024,"Elucidate the importance of buffer stocks for stabilizing agricultural prices in India. What are the challenges associated with the storage of buffer stock? Discuss.",15
2024,"The world is facing an acute shortage of clean and safe freshwater. What are the alternative technologies which can solve this crisis? Briefly discuss any three such technologies citing their key merits and demerits.",15
2024,"What are asteroids? How real is the threat of them causing extinction of life? What strategies have been developed to prevent such a catastrophe?",15
2024,"What is disaster resilience? How is it determined? Describe various elements of a resilience framework. Also mention the global targets of Sendai Framework for Disaster Risk Reduction (2015–2030).",15
2024,"Flooding in urban areas is an emerging climate-induced disaster. Discuss the causes of this disaster. Mention the features of two such major floods in the last two decades in India. Describe the policies and frameworks in India that aim at tackling such floods.",15
2024,"India has a long and troubled border with China and Pakistan fraught with contentious issues. Examine the conflicting issues and security challenges along the border. Also give out the development being undertaken in these areas under the Border Area Development Programme (BADP) and Border Infrastructure and Management (BIM) Scheme.",15
2024,"Social media and encrypting messaging services pose a serious security challenge. What measures have been adopted at various levels to address the security implications of social media? Also suggest any other remedies to address the problem.",15
2023,"Faster economic growth requires increased share of the manufacturing sector in GDP, particularly of MSMEs. Comment on the present policies of the Government in this regard.",10
2023,"What is the status of digitalization in the Indian economy? Examine the problems faced in this regard and suggest improvements.",10
2023,"How does e-Technology help farmers in production and marketing of agricultural produce? Explain it.",10
2023,"State the objectives and measures of land reforms in India. Discuss how land ceiling policy on landholding can be considered as an effective reform under economic criteria.",10
2023,"Introduce the concept of Artificial Intelligence (AI). How does AI help clinical diagnosis? Do you perceive any threat to privacy of the individual in the use of AI in healthcare?",10
2023,"Discuss several ways in which microorganisms can help in meeting the current fuel shortage.",10
2023,"Dam failures are always catastrophic, especially on the downstream side, resulting in a colossal loss of life and property. Analyze the various causes of dam failures. Give two examples of large dam failures.",10
2023,"What is oil pollution? What are its impacts on the marine ecosystem? In what way is oil pollution particularly harmful for a country like India?",10
2023,"Winning of 'Hearts and Minds' in terrorism-affected areas is an essential step in restoring the trust of the population. Discuss the measures adopted by the Government in this respect as part of the conflict resolution in Jammu and Kashmir.",10
2023,"The use of unmanned aerial vehicles (UAVs) by our adversaries across the borders to ferry arms/ammunitions, drugs, etc., is a serious threat to the internal security. Comment on the measures being taken to tackle this threat.",10
2023,"Most of the unemployment in India is structural in nature. Examine the methodology adopted to compute unemployment in the country and suggest improvements.",15
2023,"Distinguish between 'care economy' and 'monetized economy'. How can care economy be brought into monetized economy through women empowerment?",15
2023,"Explain the changes in cropping pattern in India in the context of changes in consumption pattern and marketing conditions.",15
2023,"What are the direct and indirect subsidies provided to farm sector in India? Discuss the issues raised by the World Trade Organization (WTO) in relation to agricultural subsidies.",15
2023,"The adoption of electric vehicles is rapidly growing worldwide. How do electric vehicles contribute to reducing carbon emissions and what are the key benefits they offer compared to traditional combustion engine vehicles?",15
2023,"What is the main task of India's third moon mission which could not be achieved in its earlier mission? List the countries that have achieved this task. Introduce the subsystems in the spacecraft launched and explain the role of the 'Virtual Launch Control Centre' at the Vikram Sarabhai Space Centre which contributed to the successful launch from Sriharikota.",15
2023,"Comment on the National Wetland Conservation Programme initiated by the Government of India and name a few India's wetlands of international importance included in the Ramsar Sites.",15
2023,"The Intergovernmental Panel on Climate Change (IPCC) has predicted a global sea level rise of about one metre by AD 2100. What would be its impact in India and the other countries in the Indian Ocean region?",15
2023,"What are the internal security challenges being faced by India? Give out the role of Central Intelligence and Investigative Agencies tasked to counter such threats.",15
2023,"Give out the major sources of terror funding in India and the efforts being made to curtail these sources. In the light of this, also discuss the aim and objective of the 'No Money for Terror (NMFT)' Conference recently held at New Delhi in November 2022.",15
2020,Explain intra-generational and inter-generational issues of equity from the perspective of inclusive growth and sustainable development.,10
2020,Define potential GDP and explain its determinants. What are the factors that have been inhibiting India from realizing its potential GDP?,10
2020,What are the main constraints in transport and marketing of agricultural produce in India?,10
2020,What are the challenges and opportunities of food processing sector in the country? How can income of the farmers be substantially increased by encouraging food processing?,10
2020,What do you understand by nanotechnology and how is it helping in health sector?,10
2020,How is science interwoven deeply with our lives? What are the striking changes in agriculture triggered off by the science-based technologies?,10
2020,"How does the draft Environment Impact Assessment (EIA) Notification, 2020 differ from the existing EIA Notification, 2006?",10
2020,What are the salient features of the Jal Shakti Abhiyan launched by the Government of India for water conservation and water security?,10
2020,Discuss different types of cyber crimes and measures required to be taken to fight the menace.,10
2020,"For effective border area management, discuss the steps required to be taken to deny local support to militants and also suggest ways to manage favourable perception among locals.",10
2020,Explain the meaning of investment in an economy in terms of capital formation. Discuss the factors to be considered while designing a concession agreement between a public entity and a private entity.,15
2020,Explain the rationale behind the Goods and Services Tax (Compensation to States) Act of 2017. How has COVID-19 impacted the GST compensation fund and created new federal tensions?,15
2020,What are the major factors responsible for making rice-wheat system a success? In spite of this success how has this system become bane in India?,15
2020,Suggest measures to improve water storage and irrigation system to make its judicious use under depleting scenario.,15
2020,"COVID-19 pandemic has caused unprecedented devastation worldwide. However, technological advancements are being availed readily to win over the crisis. Give an account of how technology was sought to aid management of the pandemic.",15
2020,Describe the benefits of deriving electric energy from sunlight in contrast to the conventional energy generation. What are the initiatives offered by our Government for this purpose?,15
2020,What are the key features of the National Clean Air Programme (NCAP) initiated by the Government of India?,15
2020,Discuss the recent measures initiated in disaster management by the Government of India departing from the earlier reactive approach.,15
2020,"What are the determinants of left-wing extremism in Eastern part of India? What strategy should Government of India, civil administration and security forces adopt to counter the threat in the affected areas?",15
2020,"Analyze internal security threats and transborder crimes along Myanmar, Bangladesh and Pakistan borders including Line of Control (LoC). Also discuss the role played by various security forces in this regard.",15
2019,"Enumerate the indirect taxes which have been subsumed in the Goods and Services Tax (GST) in India. Also, comment on the revenue implications of the GST introduced in India since July 2017.",10
2019,Do you agree with the view that steady GDP growth and low inflation have left the Indian economy in good shape? Give reasons in support of your arguments.,10
2019,How far is Integrated Farming System (IFS) helpful in sustaining agricultural production?,10
2019,Elaborate the impact of National Watershed Project in increasing agricultural production from water-stressed areas.,10
2019,How was India benefitted from the contributions of Sir M. Visvesvaraya and Dr. M. S. Swaminathan in the fields of water engineering and agricultural science respectively?,10
2019,What is India’s plan to have its own space station and how will it benefit our space programme?,10
2019,"Coastal sand mining, whether legal or illegal, poses one of the biggest threats to our environment. Analyze the impact of sand mining along the Indian coasts, citing specific examples.",10
2019,Vulnerability is an essential element for defining disaster impacts and its threat to people. How and in what ways can vulnerability to disasters be characterized? Discuss different types of vulnerability with reference to disasters.,10
2019,The banning of ‘Jamaat-e-Islami’ in Jammu and Kashmir brought into focus the role of over-ground workers (OGWs) in assisting terrorist organizations. Examine the role played by OGWs in assisting terrorist organizations in insurgency affected areas. Discuss measures to neutralize influence of OGWs.,10
2019,What is CyberDome Project? Explain how it can be useful in controlling internet crimes in India.,10
2019,It is argued that the strategy of inclusive growth is intended to meet the objectives of inclusiveness and sustainability together. Comment on this statement.,15
2019,The public expenditure management is a challenge to the Government of India in the context of budget making during the post-liberalization period. Clarify it.,15
2019,What are the reformative steps taken by the Government to make food grain distribution system more effective?,15
2019,Elaborate the policy taken by the Government of India to meet the challenges of the food processing sector.,15
2019,How is the Government of India protecting traditional knowledge of medicine from patenting by pharmaceutical companies?,15
2019,How can biotechnology help to improve the living standards of farmers?,15
2019,Define the concept of carrying capacity of an ecosystem as relevant to an environment. Explain how understanding this concept is vital while planning for sustainable development of a region.,15
2019,Disaster preparedness is the first step in any disaster management process. Explain how hazard zonation mapping will help disaster mitigation in the case of landslides.,15
2019,"Indian Government has recently strengthened the anti-terrorism laws by amending the Unlawful Activities (Prevention) Act (UAPA), 1967 and the NIA Act. Analyze the changes in the context of prevailing security environment while discussing the scope and reasons for opposing the UAPA by human rights organizations.",15
2019,"Cross-border movement of insurgents is only one of the several security challenges facing the policing of the border in North-East India. Examine the various challenges currently emanating across the India-Myanmar border. Also, discuss the steps to counter the challenges.",15
